input_name,game_id,matched_title,confidence,year,skip
Shadow of War,153,Middle-earth: Shadow of War,substring,2020,
The Witcher 3,135,The Witcher 3: Wild Hunt,fixed,2020,
Kentucky Route Zero,96,Kentucky Route Zero,exact,2020,
Hollow Knight,377,Hollow Knight,exact,2020,
We Happy Few,477,We Happy Few,exact,2020,
Metro Exodus,476,Metro Exodus,exact,2020,
Final Fantasy XV,474,Final Fantasy XV: Windows Edition,fixed,2020,
A Plague Tale: Innocence,471,A Plague Tale: Innocence,exact,2020,
Titanfall 2,470,Titanfall 2,exact,2020,
Link's Awakening,,,NOT IN DB,2020,Y
Halo: Reach,545,Halo: Reach,exact,2020,
Halo: Combat Evolved Anniversary (via MCC),443,Halo: The Master Chief Collection,fixed,2020,
Halo 2 (via MCC),443,Halo: The Master Chief Collection,fixed,2020,
Halo 3 (via MCC),443,Halo: The Master Chief Collection,fixed,2020,
Ori and the Will of the Wisps,467,Ori and the Will of the Wisps,exact,2020,
3 out of 10: EP 1,581,3 out of 10: Ep 1 - Welcome to Shovelworks,fixed,2020,
3 out of 10: EP 2,582,"3 out of 10: EP 2 - ""Foundation 101""",fixed,2020,
3 out of 10: EP 3,584,3 out of 10: EP 3 - Pivot Like A Champion,fixed,2020,
Outer Wilds,463,Outer Wilds,exact,2020,
The Division 2,487,Tom Clancy's The Division 2,substring,2020,
Tell Me Why,459,Tell Me Why,exact,2020,
Halo 3: ODST (via MCC),443,Halo: The Master Chief Collection,fixed,2020,
Star Wars Jedi: Fallen Order,453,Star Wars Jedi: Fallen Order,exact,2020,
Remnant: From the Ashes,451,Remnant: From the Ashes,exact,2020,
Halo 4 (via MCC),443,Halo: The Master Chief Collection,fixed,2020,
No Man's Sky,439,No Man's Sky,exact,2020,
Hellblade: Senua's Sacrifice,171,Hellblade: Senua's Sacrifice,exact,2020,
The Lab,176,The Lab,exact,2020,
Vader Immortal,,,NOT IN DB,2020,Y
Lone Echo,,,NOT IN DB,2021,Y
Control,431,Control,exact,2021,
Star Wars: Squadrons,653,Star Wars: Squadrons,exact,2021,
The Exorcist: Legion VR,222,The Exorcist: Legion VR,exact,2021,
The Dark Pictures Anthology: Man of Medan,429,The Dark Pictures Anthology: Man of Medan,exact,2021,
Deus Ex: Mankind Divided,147,Deus Ex: Mankind Divided,exact,2021,
Duck Season,183,Duck Season,exact,2021,
Doom Eternal,422,Doom Eternal,exact,2021,
Horizon Zero Dawn,221,Horizon Zero Dawn,exact,2021,
Boneworks,204,Boneworks,exact,2021,
GreedFall,418,GreedFall,exact,2021,
Astral Chain,,,NOT IN DB,2021,Y
Untitled Goose Game,,,NOT IN DB,2021,Y
The Medium,415,The Medium,exact,2021,
Detroit: Become Human,609,Detroit: Become Human,exact,2021,
Battlefield 1,413,Battlefield 1,exact,2021,
Little Nightmares,173,Little Nightmares,exact,2021,
Red Dead Redemption 2,223,Red Dead Redemption 2,exact,2021,
Moss,207,Moss,exact,2021,
Creed: Rise to Glory,201,Creed: Rise to Glory,exact,2021,
Star Wars Battlefront II,408,Star Wars Battlefront II,exact,2021,
Twelve Minutes,402,Twelve Minutes,fixed,2021,
Sekiro: Shadows Die Twice,203,Sekiro: Shadows Die Twice,exact,2021,
Perspectives: Paradise (VR),,,NOT IN DB,2021,Y
Hades,386,Hades,exact,2021,
Outlast 2,,,NOT IN DB,2021,Y
Marvel's Avengers,394,Marvel's Avengers,exact,2021,
Darq,603,Darq,exact,2021,
The Solus Project,141,The Solus Project,exact,2021,
Book of Distance (VR),,,NOT IN DB,2021,Y
The Forgotten City,390,The Forgotten City,exact,2021,
Paradise Lost,211,Paradise Lost,exact,2021,
Subnautica: Below Zero,389,Subnautica: Below Zero,exact,2021,
Astro's Playroom,339,Astro's Playroom,exact,2021,
The Matrix Awakens,325,The Matrix: Awakens,normalized,2021,
Crysis Remastered,24,Crysis (same DB entry),substring,2021,
Marvel's Spider-Man Remastered,782,Marvel's Spider-Man (same DB entry),substring,2021,
Marvel's Guardians of the Galaxy,219,Marvel's Guardians of the Galaxy,exact,2021,
Marvel's Spider-Man: The City That Never Sleeps (DLC),,SKIP - DLC,fixed,2022,Y
Psychonauts 2,387,Psychonauts 2,exact,2022,
Resident Evil Village,344,Resident Evil Village,exact,2022,
Half-Life: Alyx,187,Half-Life: Alyx,exact,2022,
Marvel's Spider-Man: Miles Morales,343,Marvel's Spider-Man: Miles Morales,exact,2022,
Halo Infinite,388,Halo Infinite,exact,2022,
Prey,646,Prey,exact,2022,
Aperture Desk Job,244,Aperture Desk Job,exact,2022,
God of War,236,God of War,exact,2022,
Horizon Forbidden West,342,Horizon Forbidden West,exact,2022,
Lost in Random,,,NOT IN DB,2022,Y
Day of the Tentacle Remastered,159,Day of the Tentacle (same DB entry),substring,2022,
Returnal,341,Returnal,exact,2022,
Uncharted 4: A Thief's End,340,Uncharted 4: A Thief's End,exact,2022,
Assassin's Creed Origins,384,Assassin's Creed Origins,exact,2022,
As Dusk Falls,383,As Dusk Falls,exact,2022,
Ghostwire: Tokyo,234,Ghostwire: Tokyo,exact,2022,
Chorus,381,Chorus,exact,2022,
Scorn,380,Scorn,exact,2022,
A Plague Tale: Requiem,378,A Plague Tale: Requiem,exact,2022,
Ghost of Tsushima,336,Ghost of Tsushima,exact,2022,
Mass Effect (Legendary Edition playthrough),533,Mass Effect,fixed,2022,
The Legend of Zelda (NES),,,NOT IN DB,2022,Y
Death Stranding,376,Death Stranding,exact,2023,
Stray,229,Stray,exact,2023,
PowerWash Simulator,375,PowerWash Simulator,exact,2023,
Assassin's Creed Valhalla,,,NOT IN DB,2023,Y
Mass Effect 2 (Legendary Edition playthrough),532,Mass Effect 2,fixed,2023,
XCOM 2,125,XCOM 2,exact,2023,
Return to Monkey Island,374,Return to Monkey Island,exact,2023,
Final Fantasy VII Remake,319,Final Fantasy VII Remake,exact,2023,
Hinge VR,232,Hinge VR,fixed,2023,
Vertigo Remastered (VR),227,Vertigo: Remastered,fixed,2023,
Martha Is Dead,184,Martha Is Dead,exact,2023,
Mass Effect 3 (Legendary Edition playthrough),517,Mass Effect 3,fixed,2023,
God of War Ragnarök,315,God of War Ragnarök,fixed,2023,
Crisis Core: Final Fantasy VII Reunion,338,Crisis Core: Final Fantasy VII - Reunion,normalized,2023,
Wanderer (VR),237,Wanderer,exact,2023,
Baldur's Gate 3,218,Baldur's Gate III,fuzzy,2023,
Dead Space,561,Dead Space,exact,2023,
Lies of P,371,Lies of P,exact,2023,
The Callisto Protocol,320,The Callisto Protocol,exact,2023,
God of War Ragnarök: Valhalla DLC,,SKIP - DLC,fixed,2023,Y
The Dark Pictures Anthology: Little Hope,224,The Dark Pictures Anthology: Little Hope,exact,2024,
Final Fantasy XVI,337,Final Fantasy XVI,exact,2024,
Kena: Bridge of Spirits,247,Kena: Bridge of Spirits,exact,2024,
Resident Evil 2,370,Resident Evil 2,exact,2024,
Resident Evil 3,369,Resident Evil 3,exact,2024,
Fort Solis,245,Fort Solis,exact,2024,
Final Fantasy VII Remake (2nd playthrough),319,Final Fantasy VII Remake,fixed,2024,
The Dark Pictures Anthology: House of Ashes,225,The Dark Pictures Anthology: House of Ashes,exact,2024,
Final Fantasy VII Rebirth,318,Final Fantasy VII Rebirth,exact,2024,
Star Wars Jedi: Survivor,786,Star Wars Jedi: Survivor,exact,2024,
Senua's Saga: Hellblade II,368,Hellblade II: Senua's Saga,fuzzy,2024,
The Legend of Zelda: Tears of the Kingdom,,,NOT IN DB + did not finish,2024,Y
